# Data No. 1
 5.8000E+00 1.3300E+00 2.5004E-02
 6.0000E+00 1.3270E+00 2.5744E-02
 6.2000E+00 1.3190E+00 2.5193E-02
 6.4000E+00 1.2910E+00 2.4916E-02
 6.6000E+00 1.2560E+00 2.4492E-02
 6.8000E+00 1.2360E+00 2.4844E-02
 7.0000E+00 1.2210E+00 2.5031E-02
 7.2000E+00 1.1990E+00 2.5299E-02
 7.4000E+00 1.1860E+00 2.5618E-02


# Data No.3
 2.2500E-02 1.3310E+00 3.4606E-02
 2.7500E-02 1.3370E+00 2.4066E-02
 3.5000E-02 1.3440E+00 2.6880E-02
 4.5000E-02 1.3290E+00 2.2593E-02
 5.5000E-02 1.2830E+00 2.4377E-02
 6.5000E-02 1.3110E+00 1.9665E-02
 7.5000E-02 1.3280E+00 2.1248E-02
 8.5000E-02 1.3880E+00 2.4984E-02
 9.5000E-02 1.3960E+00 1.8148E-02
 1.0290E-01 1.3830E+00 2.0745E-02
 1.1010E-01 1.4200E+00 2.2720E-02
 1.1800E-01 1.3180E+00 2.1088E-02
 1.2690E-01 1.4050E+00 1.8265E-02
 1.3670E-01 1.4390E+00 1.8707E-02
 1.4780E-01 1.3920E+00 1.9488E-02
 1.6030E-01 1.4140E+00 1.9796E-02
 1.7440E-01 1.4130E+00 2.1195E-02
 1.9050E-01 1.3900E+00 2.0850E-02
 2.0890E-01 1.4300E+00 2.1450E-02
 2.3010E-01 1.4220E+00 2.5596E-02
 2.5470E-01 1.4010E+00 2.3817E-02
 2.8350E-01 1.4050E+00 2.3885E-02
 3.1740E-01 1.3870E+00 2.2192E-02
 3.5790E-01 1.3300E+00 1.9950E-02
 4.0660E-01 1.3270E+00 1.9905E-02
 4.6610E-01 1.3260E+00 1.8564E-02
 5.3960E-01 1.3150E+00 1.7095E-02
 6.3190E-01 1.3270E+00 1.5924E-02
 6.9860E-01 1.3350E+00 1.4685E-02
 7.2980E-01 1.3380E+00 1.3380E-02
 7.6310E-01 1.3530E+00 1.3530E-02
 7.9870E-01 1.3760E+00 1.2384E-02
 8.3690E-01 1.3640E+00 1.2276E-02
 8.7780E-01 1.3430E+00 1.0744E-02
 9.2190E-01 1.3330E+00 1.0664E-02
 9.6930E-01 1.3050E+00 9.1350E-03
 1.0210E+00 1.2940E+00 9.0580E-03
 1.0760E+00 1.2980E+00 9.0860E-03
 1.1360E+00 1.2900E+00 1.4190E-02
 1.2010E+00 1.3220E+00 1.4542E-02
 1.2720E+00 1.3830E+00 1.3830E-02
 1.3500E+00 1.3750E+00 1.3750E-02
 1.4340E+00 1.3990E+00 1.3990E-02
 1.5280E+00 1.3950E+00 1.3950E-02
 1.6300E+00 1.3880E+00 1.3880E-02
 1.7430E+00 1.3520E+00 1.3520E-02
 1.8680E+00 1.3380E+00 1.4718E-02
 2.0080E+00 1.3130E+00 1.4443E-02
 2.1630E+00 1.2800E+00 1.4080E-02
 2.3380E+00 1.2830E+00 1.2830E-02
 2.5340E+00 1.2500E+00 1.2500E-02
 2.7560E+00 1.2610E+00 1.2610E-02
